key,value
1000317026599964702,"{""dl"":""en""}"
1002556534242410559,"{""dl"":""en""}"
1003443163865817178,"{""dl"":""en""}"
1005882555502952488,"{""dl"":""en""}"
1007454107277213808,"{""dl"":""en""}"
606816870250708992,"{""dl"":""en""}"
672391657378807875,"{""dl"":""th""}"
754191996301606952,"{""dl"":""en""}"
769920960413302805,"{""dl"":""de""}"
779674855070105601,"{""sm"":3}"
786331751893958667,"{""dl"":""es""}"
787384659709263892,"{""sm"":3}"
801117289893199943,"{""dl"":""en""}"
814198573834436688,"{""dl"":""uk""}"
847336245654716436,"{""dl"":""en"",""sm"":3}"
854006193441210418,"{""dl"":""en""}"
863937888851853342,"{""dl"":""en""}"
892129554653659202,"{""dl"":""en""}"
899000454787260556,"{""dl"":""et""}"
901995264053768222,"{""dl"":""en""}"
907902597715869717,"{""dl"":""th""}"
913665167856893962,"{""dl"":""en""}"
918177196726710303,"{""dl"":""fr""}"
920190681530634261,"{""dl"":""ms""}"
938543373105655818,"{""dl"":""en""}"
942241738670637196,"{""dl"":""en""}"
944769757431889940,"{""dl"":""en""}"
948969914255953930,"{""dl"":""ar"",""sm"":3}"
949997272886812712,"{""dl"":""th""}"
950687779300470784,"{""dl"":""ru""}"
951959013845794817,"{""sm"":3}"
953012268487032853,"{""dl"":""en""}"
953410336139124856,"{""dl"":""en""}"
955319939097587762,"{""dl"":""de""}"
959797242691190814,"{""dl"":""pt""}"
961636428893270107,"{""dl"":""ru""}"
963885832446545940,"{""dl"":""ar""}"
964331882701529148,"{""dl"":""th"",""sm"":3}"
967075298594140331,"{""dl"":""nl""}"
969758452949864539,"{""dl"":""en""}"
971734205560143892,"{""dl"":""filipino""}"
972431505223733319,"{""dl"":""en""}"
972602926851846225,"{""dl"":""es""}"
973046832596938813,"{""dl"":""en""}"
973426059854872578,"{""dl"":""en""}"
975717568222490624,"{""dl"":""en""}"
979664920398397442,"{""dl"":""ru""}"
981648823610912869,"{""dl"":""pt""}"
982098345168359454,"{""dl"":""en""}"
982550326945124413,"{""dl"":""en""}"
982746097015463936,"{""dl"":""es""}"
983752360201441310,"{""dl"":""en""}"
983964235321200680,"{""dl"":""en""}"
985244739609690112,"{""dl"":""ru""}"
985491323693973514,"{""dl"":""ar""}"
991432171443208232,"{""dl"":""en""}"
992412168408543394,"{""dl"":""en""}"
995401628230365258,"{""dl"":""en""}"
997112825812099152,"{""dl"":""en""}"
997982146398539887,"{""sm"":3}"